timestamp,station,rainfall_mm,source
2026-06-01 08:16:54,IBALAN17,0.0,weather
2026-06-01 08:16:54,ITABAL8,0.0,weather
2026-06-01 08:16:54,ITABAL9,0.0,weather
2026-06-01T08:17,VP SABANG TIMUR SIS,0.0,meteobot
2026-06-01T08:17,VP OB 1 SIS,0.0,meteobot
2026-06-01T08:17,PITSTOP AMBON SIS,0.0,meteobot
2026-06-01T08:17,CSA BONTANG SIS,0.0,meteobot
2026-06-01 13:18:57,IBALAN17,0.0,weather
2026-06-01 13:18:57,ITABAL8,0.0,weather
2026-06-01 13:18:57,ITABAL9,0.0,weather
2026-06-01T13:19,VP SABANG TIMUR SIS,0.0,meteobot
2026-06-01T13:19,VP OB 1 SIS,0.0,meteobot
2026-06-01T13:19,PITSTOP AMBON SIS,0.0,meteobot
2026-06-01T13:19,CSA BONTANG SIS,0.0,meteobot
2026-06-01 18:33:30,IBALAN17,0.0,weather
2026-06-01 18:33:30,ITABAL8,0.0,weather
2026-06-01 18:33:30,ITABAL9,0.0,weather
2026-06-01T18:34,VP SABANG TIMUR SIS,0.0,meteobot
2026-06-01T18:33,VP OB 1 SIS,0.0,meteobot
2026-06-01T18:34,PITSTOP AMBON SIS,0.0,meteobot
2026-06-01T18:34,CSA BONTANG SIS,0.0,meteobot
2026-06-02 00:23:07,IBALAN17,0.0,weather
2026-06-02 00:23:07,ITABAL8,15.7,weather
2026-06-02 00:23:07,ITABAL9,2.01,weather
2026-06-01T23:59,VP SABANG TIMUR SIS,0.8,meteobot
2026-06-01T23:59,VP OB 1 SIS,0.0,meteobot
2026-06-01T23:59,PITSTOP AMBON SIS,0.0,meteobot
2026-06-01T23:59,CSA BONTANG SIS,0.0,meteobot
2026-06-02 04:40:15,IBALAN17,0.61,weather
2026-06-02 04:40:15,ITABAL8,0.0,weather
2026-06-02 04:40:15,ITABAL9,0.0,weather
2026-06-01T23:59,VP SABANG TIMUR SIS,0.8,meteobot
2026-06-01T23:59,VP OB 1 SIS,0.0,meteobot
2026-06-01T23:59,PITSTOP AMBON SIS,0.0,meteobot
2026-06-01T23:59,CSA BONTANG SIS,0.0,meteobot
2026-06-02 06:49:37,IBALAN17,0.61,weather
2026-06-02 06:49:37,ITABAL8,0.0,weather
2026-06-02 06:49:37,ITABAL9,0.0,weather
2026-06-01T23:59,VP SABANG TIMUR SIS,0.8,meteobot
2026-06-01T23:59,VP OB 1 SIS,0.0,meteobot
2026-06-01T23:59,PITSTOP AMBON SIS,0.0,meteobot
2026-06-01T23:59,CSA BONTANG SIS,0.0,meteobot
2026-06-02 08:00:55,IBALAN17,0.61,weather
2026-06-02 08:00:55,ITABAL8,0.0,weather
2026-06-02 08:00:55,ITABAL9,0.0,weather
2026-06-02T08:01,VP SABANG TIMUR SIS,0.0,meteobot
2026-06-02T08:01,VP OB 1 SIS,0.0,meteobot
2026-06-02T08:01,PITSTOP AMBON SIS,0.0,meteobot
2026-06-02T08:01,CSA BONTANG SIS,0.0,meteobot
