id,lat,lon,capacity,active
AMB.01,-2.19658119,115.5465809,7.46,1
BDG.02,-2.17443976,115.5676161,19.31,1
BDG.03,-2.17577491,115.5671153,5.73,1
BDG.04,-2.1807222,115.5641286,1.07,1
BDG.05,-2.17746002,115.5574123,2.1,1
BGK.01,-2.1397468,115.5868381,1.59,1
BGK.02,-2.14225681,115.586335,18.92,1
BGR.01,-2.17142034,115.5663035,1.34,1
BJB.03,-2.18976728,115.576253,1.34,1
BJM.01,-2.19735086,115.564683,3.86,1
BJM.02,-2.19211038,115.5694263,1.68,1
BKL.01,-2.13951886,115.5703619,58.33,1
BKL.02,-2.14244315,115.5692898,0.72,1
BNE.02,-2.16237123,115.5813719,1.52,1
BNE.03,-2.16843503,115.5836477,0.63,1
BNE.04,-2.16509913,115.5825563,0.55,1
BNY.03,-2.1731817,115.5860095,0.97,1
BTG.03,-2.19296941,115.5840066,9.36,1
BTG.04,-2.19486847,115.5813076,175,1
FLR.02,-2.18104584,115.5895651,0.75,1
JKT.01,-2.16755671,115.560902,25.36,1
JKT.02,-2.16988505,115.5522502,7.78,1
JKT.03,-2.1709658,115.5654261,4.16,1
JKT.04,-2.16990509,115.5533845,1.17,1
JKT.05,-2.17104114,115.5495267,5.68,1
JKT.06,-2.17110762,115.5599622,7.45,1
JKT.07,-2.16831479,115.5600213,11.55,1
JKT.08,-2.16849592,115.5585768,4.26,1
JMB.01,-2.15828054,115.5603297,3.07,1
JMB.03,-2.15808231,115.5615462,1.02,1
JMB.04,-2.1606628,115.556516,0.77,1
KRC.02,-2.14476908,115.5875682,1.04,1
KRC.03,-2.14900135,115.5840425,1.31,1
KRC.05,-2.14256221,115.5895878,1.93,1
KRC.07,-2.14198435,115.5899231,2.15,1
LHT.01,-2.15207111,115.5761051,5.84,1
LPG.01,-2.14592489,115.5831306,2.05,1
LPG.02,-2.14598767,115.569246,12.03,1
LPG.03,-2.14973436,115.5700979,6.96,1
LPG.06,-2.15291577,115.5693238,6.69,1
LPG.07,-2.15276359,115.5686322,12.92,1
MDN.01,-2.16449698,115.5733172,3.37,1
MDN.02,-2.16138392,115.5668028,2.53,1
MDN.03,-2.15900485,115.5661935,7.25,1
MDN.04,-2.16100941,115.5654852,1.95,1
MIA.01,-2.17555514,115.5505576,1.22,1
MIA.02,-2.17602222,115.5532802,17.59,1
MIA.03,-2.17835126,115.5496385,4.28,1
MIA.04,-2.18402122,115.5448161,2.31,1
MIA.05,-2.1783022,115.5536768,20.96,1
MIA.06,-2.1777416,115.5563101,1.16,1
MKS.01,-2.19585025,115.5695257,0.72,1
MKS.02,-2.20141145,115.5615255,1.06,1
MKS.03,-2.20963712,115.5495762,8.2,1
MKS.04,-2.20856963,115.5494732,3.08,1
MND.02,-2.17409362,115.5935268,2.49,1
MRK.01,-2.13587903,115.5879312,1.65,1
MTM.01,-2.1935729,115.5474031,1.64,1
MTP.01,-2.20038066,115.565237,1.01,1
MTR.01,-2.13613592,115.5929082,1.67,1
NIS.01,-2.14159899,115.5689235,0.57,1
NIS.02,-2.14778842,115.5569201,0.86,1
NIS.03,-2.14791876,115.5569249,1.03,1
PDG.01,-2.15613393,115.5492484,0.52,1
PLB.01,-2.1485646,115.5816068,1.87,1
PLB.02,-2.15446057,115.5671406,0.84,1
PLB.03,-2.15472484,115.5673305,2,1
PLB.04,-2.15574336,115.5669013,13.62,1
PLU.04,-2.19529989,115.5785693,2.36,1
RIU.02,-2.14313411,115.5962358,0.61,1
RIU.04,-2.14328079,115.5952486,0.51,1
SBG.02,-2.13793017,115.5994092,1.91,1
SBG.03,-2.13579482,115.5964342,5.65,1
SBG.04,-2.13575684,115.5798323,0.63,1
SBG.05,-2.13507894,115.5817382,21.21,1
SBG.06,-2.14244315,115.5692898,14.52,1
SBG.08,-2.15482153,115.5924189,1.35,1
SBG.10,-2.14284933,115.5987679,2.05,1
SBG.11,-2.14369443,115.597318,0.75,1
SGT.02,-2.19033872,115.5832982,0.19,1
SMB.02,-2.17102984,115.5879875,2.63,1
SMB.03,-2.16875426,115.5900787,4.72,1
SNT.01,-2.20397597,115.5370516,1.34,1
TJG.01,-2.19267777,115.584796,1.99,1
TJG.02,-2.18764978,115.5924525,5.65,1
